package	version	arch	source_url	sha256	fidb	entries
libc6	2.36-9+deb12u13	amd64	http://ftp.debian.org/debian/pool/main/g/glibc/libc6_2.36-9+deb12u13_amd64.deb	3d8072c73b017e907bbf44b7db870687888a991961d74f1ecbba6b9458f32a2c	glibc-x86_64.fidb	2221
libc6	2.36-9+deb12u13	arm64	http://ftp.debian.org/debian/pool/main/g/glibc/libc6_2.36-9+deb12u13_arm64.deb	03c3909c47a6df9f6f05357474efefca9bc30212069135a7c354fa78a1ec2415	glibc-aarch64.fidb	2330
libstdc++6	12.2.0-14+deb12u1	amd64	http://ftp.debian.org/debian/pool/main/g/gcc-12/libstdc++6_12.2.0-14+deb12u1_amd64.deb	5cd3171216d4ab0fc911cfe9c35509bf2dd8f47761c43b7f6a4296701551a24d	libstdcxx-x86_64.fidb	3463
libstdc++6	12.2.0-14+deb12u1	arm64	http://ftp.debian.org/debian/pool/main/g/gcc-12/libstdc++6_12.2.0-14+deb12u1_arm64.deb	26e138c677a985775331373828a6c286c551ff397cb735d00e2383cb273d1cb2	libstdcxx-aarch64.fidb	3375
musl	1.2.5-r11	x86_64	https://dl-cdn.alpinelinux.org/alpine/v3.21/main/x86_64/musl-1.2.5-r11.apk	61e84757a8bfbc0d7fa8f4ce6de9cd4d791714369d78f6a08e5b03510fb2a623	musl-x86_64.fidb	1083
musl	1.2.5-r11	aarch64	https://dl-cdn.alpinelinux.org/alpine/v3.21/main/aarch64/musl-1.2.5-r11.apk	721010e6bff908878d9c527428598661be59dde0d9f013f8431d01fd4dd16652	musl-aarch64.fidb	1140
zlib1g	1.2.13.dfsg-1	amd64	http://ftp.debian.org/debian/pool/main/z/zlib/zlib1g_1.2.13.dfsg-1_amd64.deb	d7dd1d1411fedf27f5e27650a6eff20ef294077b568f4c8c5e51466dc7c08ce4	zlib-x86_64.fidb	73
zlib1g	1.2.13.dfsg-1	arm64	http://ftp.debian.org/debian/pool/main/z/zlib/zlib1g_1.2.13.dfsg-1_arm64.deb	52b8b8a145bbe1956bba82034f77022cbef0c3d0885c9e32d9817a7932fe1913	zlib-aarch64.fidb	73
libssl3+libcrypto3	3.0.17-1~deb12u2	amd64	http://ftp.debian.org/debian/pool/main/o/openssl/libssl3_3.0.17-1~deb12u2_amd64.deb	d97c29db9d9d1d125580be5d7b2e1170adb47e5a8b4481841718be95fa652e68	openssl-x86_64.fidb	3799
libssl3+libcrypto3	3.0.17-1~deb12u2	arm64	http://ftp.debian.org/debian/pool/main/o/openssl/libssl3_3.0.17-1~deb12u2_arm64.deb	9b7acbd0384990d9f8046798b7f646bf71e60ce41b3dd52575bdb9aa50a67320	openssl-aarch64.fidb	3869
